
OWALK00101,748,1004,G,Faulkner,WALK,Walkway 1,WALK_001,O,true 
OWALK00201,976,957,G,Faulkner,WALK,Walkway 2,WALK_002,O,true 
OWALK00301,750,860,G,Faulkner,WALK,Walkway 3,WALK_003,O,true 
OWALK00401,752,746,G,Faulkner,WALK,Walkway 4,WALK_004,O,true 
OWALK00501,830,656,G,Faulkner,WALK,Walkway 5,WALK_005,O,true 
OWALK00601,887,626,G,Faulkner,WALK,Walkway 6,WALK_006,O,true 
OWALK00701,868,565,G,Faulkner,WALK,Walkway 7,WALK_007,O,true 
OWALK00801,1078,500,G,Faulkner,WALK,Walkway 8,WALK_008,O,true 
OWALK00901,1095,1002,G,Faulkner,WALK,Walkway 9,WALK_009,O,true 
OWALK01001,1214,1003,G,Faulkner,WALK,Walkway 10,WALK_010,O,true 
OWALK01101,1213,1145,G,Faulkner,WALK,Walkway 11,WALK_011,O,true 
OWALK01201,1340,1014,G,Faulkner,WALK,Walkway 12,WALK_012,O,true 
OWALK02301,1320,1030,G,Faulkner,WALK,Walkway 23,WALK_023O,,true 
OWALK01301,1585,937,G,Faulkner,WALK,Walkway 13,WALK_013,O,true 
OWALK01401,1587,829,G,Faulkner,WALK,Walkway 14,WALK_014,O,true 
OWALK01501,1531,730,G,Faulkner,WALK,Walkway 15,WALK_015,O,true 
OWALK01601,1637,731,G,Faulkner,WALK,Walkway 16,WALK_016,O,true 
OWALK01701,1580,635,G,Faulkner,WALK,Walkway 17,WALK_017,O,true 
OWALK01801,1390,674,G,Faulkner,WALK,Walkway 18,WALK_018,O,true 
OWALK01901,1271,766,G,Faulkner,WALK,Walkway 19,WALK_019,O,true 
OWALK02001,944,855,G,Faulkner,WALK,Walkway 20,WALK_020,O,true 
OWALK02101,487,1027,G,Faulkner,WALK,Walkway 21,WALK_021,O,true 
OWALK02201,489,1118,G,Faulkner,WALK,Walkway 22,WALK_022,O,true 
OPARK00101,470,957,G,Faulkner,PARK,Parking Spot 1,PARK_001,O,true 
OPARK00201,502,958,G,Faulkner,PARK,Parking Spot 2,PARK_002,O,true 
OPARK00301,469,971,G,Faulkner,PARK,Parking Spot 3,PARK_003,O,true 
OPARK00401,505,975,G,Faulkner,PARK,Parking Spot 4,PARK_004,O,true 
OPARK00501,476,992,G,Faulkner,PARK,Parking Spot 5,PARK_005,O,true 
OPARK00601,505,994,G,Faulkner,PARK,Parking Spot 6,PARK_006,O,true 
OPARK00701,468,1058,G,Faulkner,PARK,Parking Spot 7,PARK_007,O,true 
OPARK00801,484,1059,G,Faulkner,PARK,Parking Spot 8,PARK_008,O,true 
OPARK00901,503,1057,G,Faulkner,PARK,Parking Spot 9,PARK_009,O,true 
OPARK01001,467,1091,G,Faulkner,PARK,Parking Spot 10,PARK_010,O,true 
OPARK01101,485,1085,G,Faulkner,PARK,Parking Spot 11,PARK_011,O,true 
OPARK01201,503,1091,G,Faulkner,PARK,Parking Spot 12,PARK_012,O,true 
OPARK01301,468,1153,G,Faulkner,PARK,Parking Spot 13,PARK_013,O,true 
OPARK01401,484,1148,G,Faulkner,PARK,Parking Spot 14,PARK_014,O,true 
OPARK01501,506,1151,G,Faulkner,PARK,Parking Spot 15,PARK_015,O,true 
OPARK01601,468,1178,G,Faulkner,PARK,Parking Spot 16,PARK_016,O,true 
OPARK01701,486,1182,G,Faulkner,PARK,Parking Spot 17,PARK_017,O,true 
OPARK01801,504,1180,G,Faulkner,PARK,Parking Spot 18,PARK_018,O,true 
OPARK01901,1468,713,G,Faulkner,PARK,Parking Spot 19,PARK_019,O,true 
OPARK02001,1485,713,G,Faulkner,PARK,Parking Spot 20,PARK_020,O,true 
OPARK02101,1502,716,G,Faulkner,PARK,Parking Spot 21,PARK_021,O,true 
OPARK02201,1468,753,G,Faulkner,PARK,Parking Spot 22,PARK_022,O,true 
OPARK02301,1484,755,G,Faulkner,PARK,Parking Spot 23,PARK_023,O,true 
OPARK02401,1501,751,G,Faulkner,PARK,Parking Spot 24,PARK_024,O,true 
OPARK02501,1565,714,G,Faulkner,PARK,Parking Spot 25,PARK_025,O,true 
OPARK02601,1597,716,G,Faulkner,PARK,Parking Spot 26,PARK_026,O,true 
OPARK02701,1561,735,G,Faulkner,PARK,Parking Spot 27,PARK_027,O,true 
OPARK02801,1603,731,G,Faulkner,PARK,Parking Spot 28,PARK_028,O,true 
OPARK02901,1564,749,G,Faulkner,PARK,Parking Spot 29,PARK_029,O,true 
OPARK03001,1601,750,G,Faulkner,PARK,Parking Spot 30,PARK_030,O,true 
OEXIT00101,681,421,G,Faulkner,EXIT,Exit 1 ,EXIT_001,O,true 
OEXIT00201,1197,1217,G,Faulkner,EXIT,Exit 2 Emergency Entrance,EXIT_002,O,true 
OEXIT00301,1586,975,G,Faulkner,EXIT,Exit 3 Atrium Main entrance,EXIT_003,O,true 
